City_ID,City,Country,Max Temp,Lat,Lng,Current Descrption,Hotel Name
309,Lompoc,US,63.0,34.64,-120.46,clear sky,Holiday Inn Express Lompoc
311,Kuliyapitiya,LK,77.0,7.47,80.04,scattered clouds,Rest House
317,Bria,CF,73.2,6.54,21.99,clear sky,
319,Alyangula,AU,77.0,-13.85,136.42,overcast clouds,Groote Eylandt Lodge
320,Nouadhibou,MR,64.4,20.93,-17.03,sand,El Medina
322,Necochea,AR,75.83,-38.55,-58.74,clear sky,dyd -mar Hotel
323,Mariakani,KE,73.94,-3.87,39.47,broken clouds,The County Luxury Comfort Hotels Ltd
324,Gwadar,PK,73.8,25.12,62.33,few clouds,Sadaf Resort
325,Seminole,US,64.99,32.72,-102.64,clear sky,Seminole Inn
328,Sola,TZ,65.82,-3.17,33.8,clear sky,Peace Hotel
330,Paita,PE,62.6,-5.09,-81.11,overcast clouds,Hotel Náutico de Paita
335,Vila Velha,BR,86.0,-3.71,-38.6,few clouds,Hotel Iparana Paradise
337,Zaria,NG,64.22,11.11,7.72,scattered clouds,A.B.U Hotels
338,Palauig,PH,71.44,15.44,119.9,broken clouds,Myhousebythesea
339,Kahului,US,75.2,20.89,-156.47,moderate rain,Maui Seaside Hotel
343,Mahebourg,MU,78.01,-20.41,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
344,Jacutinga,BR,75.2,-22.29,-46.61,scattered clouds,Hotel Filhos de Gandhi
345,Ancud,CL,60.8,-41.87,-73.83,clear sky,HOTEL ANCUD DON LUCAS
346,Lokoja,NG,77.11,7.8,6.74,overcast clouds,Hotel Charvid
347,Mpongwe,ZM,63.68,-13.51,28.16,overcast clouds,GCMF Office & Lodge
354,Pahrump,US,66.99,36.21,-115.98,clear sky,Best Western Pahrump Oasis
357,Nadadores,MX,68.02,27.03,-101.59,clear sky,ZARAGOZA 15 Z.C NADADORES
360,Daru,PG,76.68,-9.07,143.21,overcast clouds,Daru hotel
365,Whitianga,NZ,69.01,-36.83,175.7,overcast clouds,Beachside Resort Whitianga
369,Bintulu,MY,77.0,3.17,113.03,light rain,900 Boutique INN
370,Roura,GF,82.4,4.73,-52.33,broken clouds,Amazonie Découverte SARL
372,Avera,US,62.6,33.19,-82.53,overcast clouds,
375,Gwanda,ZW,76.69,-20.94,29.0,clear sky,Mafax Homeways
376,Luanda,AO,75.2,-8.83,13.24,broken clouds,EPIC SANA Luanda
378,Sabang,PH,79.0,13.8,121.11,scattered clouds,SM TRAVELODGE
383,Baracoa,CU,79.47,20.35,-74.5,clear sky,Hostal Rio Miel
387,West Odessa,US,63.0,31.84,-102.48,clear sky,Hotel Amon Ra
389,Camarillo,US,73.0,34.22,-119.04,clear sky,Courtyard by Marriott Camarillo
390,Uturoa,PF,81.45,-16.73,-151.43,overcast clouds,Villa Tonoï
391,Sao Joao Da Barra,BR,80.6,-21.64,-41.05,broken clouds,Pousada Porto De Canoas
394,Atambua,ID,75.85,-9.11,124.89,overcast clouds,Pondok Pesantren Al Muhajirin Atambua
397,Catuday,PH,78.1,16.29,119.81,broken clouds,GResort
401,Henties Bay,,62.01,-22.12,14.28,overcast clouds,Fishermans Guest House
404,Caruray,PH,80.65,10.31,119.01,broken clouds,
406,Itoman,JP,64.4,26.12,127.67,scattered clouds,Southern Beach Hotel & Resort Okinawa
407,Bail Hongal,IN,64.92,15.82,74.87,clear sky,Sangam residency (Lodge)
408,Sambava,MG,73.27,-14.27,50.17,overcast clouds,Melrose
409,Guerrero Negro,MX,71.6,27.97,-114.04,clear sky,The Halfway Inn
413,Namibe,AO,75.63,-15.19,12.15,overcast clouds,Chik-Chik Namibe
416,Ejura,GH,76.53,7.38,-1.37,clear sky,Collinmay Hotel
418,Grenfell,AU,79.02,-33.9,148.16,clear sky,Grenfell Royal Hotel
422,Hidalgo,US,73.99,26.1,-98.26,scattered clouds,Super 8 by Wyndham Hidalgo/McAllen Area
423,Chicama,PE,73.4,-7.84,-79.15,few clouds,Hospedaje Punta Cana PERU
425,Vryburg,ZA,77.67,-26.96,24.73,scattered clouds,Times Premier Lodge
427,Pochutla,MX,89.01,15.74,-96.47,scattered clouds,Hotel Posada San Jose
432,Nata,BW,77.85,-20.21,26.19,overcast clouds,Gomwe Guest House
443,Concordia,AR,84.2,-31.4,-58.02,scattered clouds,Palmar Hotel Casino
444,Samarai,PG,79.09,-10.62,150.67,scattered clouds,Nuli Sapi
446,Leua,AO,62.35,-11.65,20.45,overcast clouds,
448,Lazaro Cardenas,MX,64.99,28.39,-105.62,clear sky,Hotel Los Naranjos
449,Gorin,BF,64.4,12.34,-0.67,clear sky,
453,Bonthe,SL,77.74,7.53,-12.5,scattered clouds,Bonthe Holiday Village
454,Jalapa,GT,73.4,14.63,-89.98,scattered clouds,Alta Vista Hotel Boutique
455,Piacabucu,BR,79.34,-10.41,-36.43,overcast clouds,Piaçabuçu News
457,Ukwa,NG,75.63,5.47,8.01,broken clouds,
459,Hervey Bay,AU,75.99,-25.3,152.85,clear sky,Shelly Bay Resort
461,Prachuap Khiri Khan,TH,76.42,11.81,99.79,scattered clouds,HadThong Hotel
464,Canberra,AU,66.0,-35.3,149.1,dust,Novotel - Canberra
465,Mareeba,AU,78.8,-16.99,145.42,broken clouds,Mareeba Country Caravan Park
466,Talara,PE,62.6,-4.58,-81.27,overcast clouds,Hostal Oro Negro
467,Sal Rei,CV,71.6,16.18,-22.92,dust,Marine Club Beach Resort
468,Kloulklubed,PW,78.8,7.04,134.26,broken clouds,Storyboard Beach Resort
472,Tamiahua,MX,67.42,21.28,-97.45,clear sky,Mission Of The Sun Hotel
473,San Quintin,PH,68.83,17.54,120.52,broken clouds,San Quintin River Resort
476,Pisco,PE,75.0,-13.71,-76.2,overcast clouds,Hostal San Isidro Oficial
477,Nhulunbuy,AU,80.6,-12.18,136.78,overcast clouds,Gove Peninsula Motel
479,Manutuke,NZ,64.0,-38.68,177.91,clear sky,Katoa Country Lodge
485,Cockburn Town,TC,82.4,21.46,-71.14,scattered clouds,Osprey Beach Hotel
488,Biloela,AU,69.39,-24.4,150.51,clear sky,Silo Motor Inn
489,Sharjah,AE,73.4,25.36,55.39,clear sky,Swiss Belhotel Sharjah
490,Altar,MX,70.0,30.72,-111.84,scattered clouds,Hotel Maria Elena
491,Cabedelo,BR,82.4,-6.97,-34.84,few clouds,Lua Mansa Pousada
494,Alta Floresta,BR,86.0,-9.87,-56.08,scattered clouds,Floresta Amazonica Hotel
495,Chitipa,MW,63.3,-9.7,33.27,overcast clouds,Mama Efelo Lodge
497,Ciudad Bolivar,VE,88.7,8.12,-63.55,clear sky,Hotel Edi
498,Hobyo,SO,77.72,5.35,48.53,clear sky,
500,Buala,SB,82.56,-8.15,159.59,overcast clouds,Maringe Lagoon Lodge
504,Champerico,MX,73.4,16.38,-93.6,broken clouds,
505,Teshie,GH,78.8,5.58,-0.11,scattered clouds,Best Western Plus Accra Beach Hotel
506,Kampot,KH,75.2,10.62,104.18,few clouds,Champa Lodge
508,Maturin,VE,81.97,9.75,-63.18,clear sky,Residencias Guaritos I
510,Pacific Grove,US,63.0,36.62,-121.92,clear sky,Lovers Point Inn
513,Srivardhan,IN,67.35,18.03,73.02,clear sky,Savli Resort/Hotel - Shriwardhan
515,Broken Hill,AU,66.2,-31.97,141.45,scattered clouds,Royal Exchange Hotel
519,Hargeysa,SO,63.81,9.56,44.06,few clouds,Imperial Hotel
522,Samalkot,IN,69.66,17.05,82.18,clear sky,Hotel Sai Residency
523,Port Blair,IN,81.05,11.67,92.75,overcast clouds,Fortune Resort Bay Island
526,Port-Gentil,GA,78.8,-0.72,8.78,thunderstorm,Fengshui Residence
529,Quatre Cocos,MU,78.01,-20.21,57.76,broken clouds,Emeraude Beach Attitude Hotel
530,Mondlo,ZA,68.67,-27.96,30.72,overcast clouds,KwaXaba
