City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cape Town,ZA,2020-01-04 05:10:03,-33.93,18.42,69.01,93,19,9.17
70,Saldanha,PT,2020-01-04 05:12:12,41.42,-6.55,36.23,92,2,3.49
71,Chifeng,CN,2020-01-04 05:12:24,42.27,118.96,31.71,30,0,5.23
72,Bluff,AU,2020-01-04 05:10:52,-23.58,149.07,94.39,22,10,18.32
73,Aktanysh,RU,2020-01-04 05:13:50,55.72,54.06,32.58,89,100,16.02
74,Kavaratti,IN,2020-01-04 05:13:50,10.57,72.64,86.0,70,40,6.93
75,Vardo,US,2020-01-04 05:11:36,39.62,-77.74,48.99,100,90,5.88
76,Jamestown,AU,2020-01-04 05:11:39,-33.21,138.6,77.11,40,0,19.13
77,High Level,CA,2020-01-04 05:13:50,58.52,-117.13,8.6,84,90,9.17
78,Kanigiri,IN,2020-01-04 05:13:51,15.41,79.51,82.9,65,83,5.68
79,Shetpe,KZ,2020-01-04 05:13:51,44.14,52.16,30.18,57,0,6.82
80,Hami,CN,2020-01-04 05:13:51,42.84,93.51,23.83,48,0,1.83
81,Provideniya,RU,2020-01-04 05:11:14,64.42,-173.23,-14.24,75,9,8.9
82,Vaini,IN,2020-01-04 05:11:24,15.34,74.49,69.8,64,19,3.36
83,Aktau,KZ,2020-01-04 05:13:52,43.65,51.16,17.6,92,0,8.95
84,Tiznit,MA,2020-01-04 05:13:52,29.7,-9.73,48.94,34,5,3.06
85,Akcakoca,TR,2020-01-04 05:13:52,41.09,31.12,35.44,84,100,4.07
86,Lahij,YE,2020-01-04 05:13:53,13.06,44.88,79.54,62,30,14.29
87,Vieques,PR,2020-01-04 05:13:53,18.43,-65.83,78.8,74,40,13.22
88,Tiksi,RU,2020-01-04 05:11:31,71.64,128.87,-16.91,83,100,10.51
89,Kirando,TZ,2020-01-04 05:13:53,-7.37,30.62,76.77,72,100,6.89
90,Buala,SB,2020-01-04 05:13:53,-8.15,159.59,83.61,77,98,6.02
91,Gorontalo,ID,2020-01-04 05:11:17,0.54,123.06,81.93,83,100,5.7
92,Rikitea,PF,2020-01-04 05:10:51,-23.12,-134.97,78.39,79,97,12.28
